spark.executor.cores,spark.executor.instances,spark.scheduler.revive.interval,spark.executor.memoryOverhead,runtime
3.0,7.0,603.0,674.0,183.17903
4.0,8.0,627.0,581.0,180.35922
4.0,5.0,614.0,426.0,180.3876
4.0,8.0,615.0,580.0,180.35922
4.0,6.0,632.0,570.0,180.35922
4.0,8.0,694.0,580.0,180.35922
4.0,8.0,646.0,420.0,180.3876
4.0,7.0,832.0,663.0,176.27289
4.0,5.0,752.0,424.0,180.3876
4.0,7.0,756.0,564.0,180.35922
4.0,6.0,669.0,456.0,180.3876
4.0,6.0,991.0,457.0,180.3876
4.0,5.0,528.0,427.0,180.3876
4.0,5.0,534.0,484.0,180.3876
4.0,8.0,888.0,582.0,180.35922
4.0,4.0,669.0,581.0,180.35922
4.0,6.0,920.0,581.0,180.35922
4.0,4.0,668.0,581.0,180.35922
4.0,6.0,601.0,596.0,180.35922
4.0,7.0,875.0,426.0,180.3876
4.0,5.0,543.0,596.0,180.35922
4.0,6.0,894.0,573.0,180.35922
4.0,5.0,755.0,596.0,180.35922
4.0,8.0,651.0,592.0,180.35922
4.0,7.0,504.0,596.0,180.35922
4.0,7.0,512.0,473.0,180.3876
4.0,5.0,852.0,592.0,180.35922
4.0,6.0,615.0,673.0,176.27263
4.0,7.0,667.0,445.0,180.3876
4.0,5.0,864.0,669.0,176.27289
