spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
35.0,0.0,1.0,279.0,4.0,8.0,4.0,434.0,128.0,112.0,7.0,1230936600.0,0.84,0.0,891.0,0.88,1.0,1485115100.0,1808978400.0,51.0,0.0,562.0,1.0,36.0,1.0,343.0,1.0,6.222,0.003,0.999,0.215,1490.612
36.0,0.0,1.0,273.0,4.0,8.0,4.0,448.0,128.0,110.0,7.0,1232337700.0,0.84,0.0,877.0,0.89,1.0,1468032100.0,1812056600.0,51.0,0.0,569.0,1.0,36.0,1.0,342.0,1.0,6.18,0.005,0.999,0.183,996.403
36.0,0.0,1.0,282.0,4.0,8.0,4.0,435.0,128.0,110.0,7.0,1225291500.0,0.84,0.0,880.0,0.88,1.0,1479636500.0,1819808400.0,51.0,0.0,548.0,1.0,36.0,1.0,339.0,1.0,2.097,0.004,0.998,0.259,890.367
34.0,0.0,1.0,280.0,4.0,8.0,4.0,444.0,127.0,111.0,7.0,1216503800.0,0.84,0.0,869.0,0.89,1.0,1487857200.0,1818024700.0,49.0,0.0,554.0,1.0,36.0,1.0,342.0,1.0,8.577,0.005,0.999,0.251,873.346
35.0,0.0,1.0,280.0,4.0,8.0,4.0,439.0,125.0,111.0,7.0,1217179600.0,0.84,0.0,876.0,0.89,1.0,1471970600.0,1839623800.0,50.0,0.0,547.0,1.0,36.0,1.0,350.0,1.0,8.35,0.004,0.998,0.255,873.274
35.0,0.0,1.0,273.0,4.0,8.0,4.0,439.0,128.0,109.0,7.0,1198036400.0,0.84,0.0,853.0,0.9,1.0,1493398100.0,1818054900.0,50.0,0.0,565.0,1.0,36.0,1.0,345.0,1.0,10.479,0.006,0.999,0.213,848.896
36.0,0.0,1.0,276.0,4.0,8.0,4.0,434.0,127.0,109.0,7.0,1254260600.0,0.84,0.0,870.0,0.88,1.0,1504602500.0,1811696900.0,51.0,0.0,564.0,1.0,36.0,1.0,343.0,1.0,4.077,0.005,0.999,0.233,830.076
35.0,0.0,1.0,283.0,4.0,8.0,4.0,440.0,126.0,112.0,7.0,1239100700.0,0.84,0.0,860.0,0.88,1.0,1523894800.0,1806467300.0,50.0,0.0,561.0,1.0,36.0,1.0,340.0,1.0,6.395,0.005,0.998,0.24,820.267
35.0,0.0,1.0,280.0,4.0,8.0,4.0,449.0,128.0,110.0,7.0,1222059100.0,0.83,0.0,886.0,0.88,1.0,1489836200.0,1831610900.0,50.0,0.0,565.0,1.0,36.0,1.0,342.0,1.0,4.404,0.004,0.997,0.298,744.36
35.0,0.0,1.0,275.0,4.0,8.0,4.0,448.0,128.0,108.0,7.0,1197426700.0,0.84,0.0,899.0,0.89,1.0,1487692000.0,1819175200.0,51.0,0.0,539.0,1.0,36.0,1.0,343.0,1.0,8.507,0.006,0.999,0.245,640.503
35.0,0.0,1.0,293.0,4.0,8.0,4.0,437.0,128.0,110.0,7.0,1165612200.0,0.82,0.0,860.0,0.89,1.0,1466770200.0,1816062800.0,52.0,0.0,560.0,1.0,36.0,1.0,342.0,1.0,8.225,0.007,0.999,0.225,637.309
35.0,0.0,1.0,280.0,4.0,8.0,4.0,435.0,128.0,110.0,7.0,1162523900.0,0.84,0.0,890.0,0.9,1.0,1489558700.0,1812389200.0,52.0,0.0,547.0,1.0,36.0,1.0,349.0,1.0,8.487,0.006,0.999,0.266,592.484
36.0,0.0,1.0,286.0,4.0,8.0,4.0,449.0,127.0,112.0,7.0,1201460100.0,0.82,0.0,863.0,0.88,1.0,1500478800.0,1804260000.0,51.0,0.0,555.0,1.0,35.0,1.0,343.0,1.0,6.208,0.007,0.999,0.228,588.95
34.0,0.0,1.0,282.0,4.0,8.0,4.0,437.0,125.0,109.0,7.0,1241532000.0,0.84,0.0,865.0,0.88,1.0,1509692200.0,1797765400.0,50.0,0.0,562.0,1.0,35.0,1.0,350.0,1.0,6.434,0.007,0.998,0.247,542.612
36.0,0.0,1.0,273.0,4.0,8.0,4.0,452.0,128.0,108.0,7.0,1205290100.0,0.84,0.0,886.0,0.89,1.0,1466182400.0,1849268900.0,51.0,0.0,569.0,1.0,36.0,1.0,336.0,1.0,2.084,0.008,0.999,0.232,542.311
