spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
54.0,1.0,0.0,286.0,3.0,8.0,3.0,743.0,61.0,83.0,7.0,1620648400.0,0.5,0.0,164.0,0.9,0.0,1687161900.0,1296885000.0,29.0,1.0,530.0,1.0,40.0,3.0,280.0,4.0,8.463,0.006,0.999,0.241,672.818
54.0,1.0,0.0,279.0,3.0,8.0,3.0,746.0,61.0,85.0,7.0,1614016000.0,0.5,0.0,165.0,0.9,0.0,1728130200.0,1317944400.0,29.0,1.0,540.0,1.0,40.0,3.0,276.0,4.0,6.41,0.006,0.998,0.242,650.324
54.0,1.0,0.0,278.0,3.0,8.0,3.0,757.0,59.0,83.0,7.0,1614365400.0,0.5,0.0,163.0,0.9,0.0,1675872000.0,1327310200.0,28.0,1.0,533.0,1.0,40.0,3.0,282.0,4.0,10.877,0.007,0.998,0.33,453.888
53.0,1.0,0.0,289.0,3.0,8.0,3.0,754.0,56.0,84.0,7.0,1612874000.0,0.5,0.0,171.0,0.89,0.0,1659625000.0,1342779300.0,28.0,1.0,549.0,1.0,38.0,3.0,283.0,4.0,4.221,0.01,0.998,0.252,411.315
52.0,1.0,0.0,282.0,3.0,8.0,3.0,736.0,55.0,85.0,7.0,1641022700.0,0.5,0.0,178.0,0.88,0.0,1654109300.0,1341759000.0,28.0,1.0,553.0,1.0,39.0,3.0,280.0,4.0,6.248,0.012,0.998,0.222,389.711
54.0,1.0,0.0,276.0,3.0,8.0,3.0,751.0,59.0,82.0,7.0,1638673500.0,0.5,0.0,183.0,0.9,0.0,1677371600.0,1314567800.0,29.0,1.0,539.0,1.0,39.0,3.0,280.0,4.0,8.442,0.011,0.998,0.241,379.277
53.0,1.0,0.0,286.0,3.0,8.0,3.0,763.0,57.0,86.0,7.0,1615514400.0,0.5,0.0,179.0,0.89,0.0,1673622500.0,1344990600.0,29.0,1.0,552.0,1.0,38.0,3.0,278.0,4.0,4.318,0.01,0.997,0.28,366.064
52.0,1.0,0.0,286.0,3.0,8.0,3.0,722.0,57.0,84.0,7.0,1610840200.0,0.5,0.0,176.0,0.88,0.0,1653210900.0,1358846800.0,28.0,1.0,542.0,1.0,39.0,3.0,275.0,4.0,4.273,0.011,0.998,0.261,360.096
53.0,1.0,0.0,284.0,3.0,8.0,3.0,735.0,56.0,83.0,7.0,1606679200.0,0.5,0.0,178.0,0.9,0.0,1656241700.0,1363456800.0,28.0,1.0,543.0,1.0,39.0,3.0,279.0,4.0,6.673,0.01,0.997,0.325,300.183
54.0,1.0,0.0,278.0,3.0,8.0,3.0,739.0,59.0,82.0,7.0,1615536600.0,0.5,0.0,161.0,0.9,0.0,1645278200.0,1342197900.0,26.0,1.0,536.0,1.0,40.0,3.0,284.0,4.0,6.625,0.01,0.997,0.322,300.004
53.0,1.0,0.0,294.0,3.0,8.0,3.0,739.0,59.0,83.0,7.0,1618884600.0,0.5,0.0,158.0,0.9,0.0,1658149600.0,1357514600.0,26.0,1.0,533.0,1.0,39.0,3.0,283.0,4.0,8.607,0.012,0.997,0.307,280.253
53.0,1.0,0.0,293.0,3.0,8.0,3.0,748.0,58.0,86.0,7.0,1592148200.0,0.5,0.0,187.0,0.89,0.0,1671233300.0,1361988200.0,27.0,1.0,540.0,1.0,39.0,3.0,274.0,4.0,6.377,0.013,0.997,0.277,274.5
54.0,1.0,0.0,279.0,3.0,8.0,3.0,745.0,56.0,85.0,7.0,1613817300.0,0.5,0.0,159.0,0.9,0.0,1655563900.0,1381641500.0,28.0,1.0,543.0,1.0,38.0,3.0,279.0,4.0,10.946,0.01,0.997,0.37,271.481
53.0,1.0,0.0,290.0,3.0,8.0,3.0,727.0,62.0,87.0,7.0,1589048400.0,0.5,0.0,187.0,0.89,0.0,1683787500.0,1302905100.0,30.0,1.0,530.0,1.0,39.0,3.0,276.0,4.0,6.376,0.015,0.998,0.249,269.359
53.0,1.0,0.0,282.0,3.0,8.0,3.0,728.0,58.0,81.0,7.0,1607722400.0,0.5,0.0,179.0,0.9,0.0,1626705900.0,1373586000.0,29.0,1.0,520.0,1.0,39.0,3.0,276.0,4.0,6.607,0.012,0.997,0.32,269.06
54.0,1.0,0.0,274.0,3.0,8.0,3.0,747.0,62.0,88.0,7.0,1635523000.0,0.5,0.0,174.0,0.9,0.0,1698297000.0,1316387500.0,30.0,1.0,539.0,1.0,39.0,3.0,273.0,4.0,4.394,0.013,0.997,0.281,264.553
53.0,1.0,0.0,276.0,3.0,8.0,3.0,714.0,60.0,83.0,7.0,1629292400.0,0.5,0.0,175.0,0.89,0.0,1690443000.0,1356526800.0,30.0,1.0,521.0,1.0,41.0,3.0,279.0,4.0,6.631,0.012,0.997,0.308,260.127
53.0,1.0,0.0,290.0,3.0,8.0,3.0,725.0,62.0,84.0,7.0,1608129400.0,0.5,0.0,196.0,0.89,0.0,1705951700.0,1356861700.0,29.0,1.0,526.0,1.0,39.0,3.0,275.0,4.0,4.254,0.016,0.998,0.241,256.948
53.0,1.0,0.0,286.0,3.0,8.0,3.0,750.0,62.0,87.0,7.0,1625340200.0,0.5,0.0,185.0,0.9,0.0,1656300000.0,1370225700.0,28.0,1.0,552.0,1.0,40.0,3.0,284.0,4.0,4.298,0.014,0.997,0.285,251.176
53.0,1.0,0.0,280.0,3.0,8.0,3.0,757.0,57.0,86.0,7.0,1636744000.0,0.5,0.0,199.0,0.89,0.0,1689727400.0,1359804800.0,29.0,1.0,548.0,1.0,39.0,3.0,282.0,4.0,4.342,0.014,0.997,0.289,242.347
52.0,1.0,0.0,289.0,3.0,8.0,3.0,741.0,59.0,81.0,7.0,1614846700.0,0.5,0.0,185.0,0.9,0.0,1657724900.0,1371532500.0,28.0,1.0,554.0,1.0,38.0,3.0,279.0,4.0,4.241,0.015,0.997,0.279,238.638
53.0,1.0,0.0,287.0,3.0,8.0,3.0,725.0,61.0,86.0,7.0,1608108300.0,0.5,0.0,194.0,0.89,0.0,1656803600.0,1397181200.0,29.0,1.0,535.0,1.0,39.0,3.0,276.0,4.0,2.284,0.014,0.997,0.293,236.329
54.0,1.0,0.0,281.0,3.0,8.0,3.0,749.0,55.0,83.0,7.0,1599900400.0,0.5,0.0,194.0,0.89,0.0,1665820700.0,1363461600.0,29.0,1.0,517.0,1.0,40.0,3.0,278.0,4.0,8.725,0.014,0.998,0.3,235.391
54.0,1.0,0.0,280.0,3.0,8.0,3.0,731.0,60.0,85.0,7.0,1605273900.0,0.5,0.0,136.0,0.87,0.0,1681612300.0,1345760500.0,29.0,1.0,550.0,1.0,39.0,3.0,279.0,4.0,6.354,0.013,0.996,0.329,229.929
54.0,1.0,0.0,276.0,3.0,8.0,3.0,737.0,59.0,85.0,7.0,1629548500.0,0.5,0.0,147.0,0.89,0.0,1651790500.0,1372639100.0,28.0,1.0,535.0,1.0,40.0,3.0,284.0,4.0,6.859,0.011,0.996,0.408,228.69
53.0,1.0,0.0,274.0,3.0,8.0,3.0,745.0,57.0,84.0,7.0,1635775600.0,0.5,0.0,195.0,0.89,0.0,1638036700.0,1351448400.0,26.0,1.0,535.0,1.0,41.0,3.0,282.0,4.0,6.43,0.017,0.998,0.265,223.971
54.0,1.0,0.0,286.0,3.0,8.0,3.0,745.0,60.0,86.0,7.0,1600623400.0,0.5,0.0,203.0,0.88,0.0,1701314800.0,1327237900.0,28.0,1.0,539.0,1.0,40.0,3.0,279.0,4.0,4.338,0.015,0.997,0.305,222.971
54.0,1.0,0.0,281.0,3.0,8.0,3.0,740.0,56.0,82.0,7.0,1632001000.0,0.5,0.0,172.0,0.87,0.0,1635911200.0,1373393000.0,28.0,1.0,576.0,1.0,39.0,3.0,282.0,4.0,2.109,0.014,0.997,0.332,212.605
54.0,1.0,0.0,280.0,3.0,8.0,3.0,736.0,57.0,81.0,7.0,1630012900.0,0.5,0.0,162.0,0.9,0.0,1670602200.0,1383580400.0,27.0,1.0,511.0,1.0,40.0,3.0,281.0,4.0,11.011,0.012,0.997,0.41,210.915
