spark.executor.memoryOverhead,spark.default.parallelism,runtime
789.0,437.0,289.31292987691944
1192.0,260.0,289.31292987691944
1064.0,260.0,289.31292987691944
1262.0,455.0,289.31292987691944
1477.0,393.0,289.31292987691944
590.0,393.0,289.31292987691944
1245.0,246.0,289.31292987691944
1310.0,218.0,289.31292987691944
592.0,406.0,289.31292987691944
1411.0,407.0,289.31292987691944
1075.0,289.0,289.31292987691944
1309.0,391.0,289.31292987691944
1095.0,252.0,289.31292987691944
1307.0,215.0,289.31292987691944
1264.0,410.0,289.31292987691944
1401.0,262.0,289.31292987691944
1079.0,388.0,289.31292987691944
624.0,244.0,289.31292987691944
592.0,253.0,289.31292987691944
587.0,253.0,289.31292987691944
1267.0,239.0,289.31292987691944
388.0,390.0,289.31292987691944
667.0,250.0,289.31292987691944
597.0,239.0,289.31292987691944
1653.0,253.0,289.31292987691944
718.0,401.0,289.31292987691944
394.0,252.0,289.31292987691944
407.0,246.0,289.31292987691944
597.0,246.0,289.31292987691944
409.0,246.0,289.31292987691944
